_stopped_line,_level,_lost_level,_error,_game_error_reason,_help_predicted_value,_code,_game_progression,_date,_duration,_execution_speed_changed,_extra_lines_number,_type,_id,_help_prediction_confidence,_game_time,_object_id,_student,_execution_speed_multiplier
,"[""Level 1""]",,,,,,,2024-11-14T17:15:00.639+01:00,,,,https://py-rates.org/xAPI/verbs/started,673621ed20a5ac0465213ba7,,,https://py-rates.org/xAPI/activities/levels/level1,EAE9pn3,
,"[""Level 1""]",,,,,,,2024-11-14T14:59:56.624+01:00,,,,https://py-rates.org/xAPI/verbs/leaved,6736024620a5ac0465213818,,PT104S,https://py-rates.org/xAPI/activities/help,RSZL5Fb,
,"[""Level 1""]",,,,1,,,2024-11-14T14:59:52.254+01:00,,,,https://py-rates.org/xAPI/verbs/received,6736024620a5ac0465213817,0.9502455322455322,PT99S,https://py-rates.org/xAPI/activities/helps/control,RSZL5Fb,
,"[""Level 1""]",,,,,,,2024-11-14T14:59:39.568+01:00,,,,https://py-rates.org/xAPI/verbs/asked,6736024620a5ac0465213816,,PT86S,https://py-rates.org/xAPI/activities/help,RSZL5Fb,
,"[""Level 1""]",,,,,,,2024-11-14T14:52:35.872+01:00,,,,https://py-rates.org/xAPI/verbs/received,6736008d327b090478287022,,PT8S,https://py-rates.org/xAPI/activities/helps/teacher,RSZL5Fb,
,"[""Level 1""]",,,,,,,2024-11-14T14:52:26.564+01:00,,,,https://py-rates.org/xAPI/verbs/started,6736008320a5ac0465213815,,,https://py-rates.org/xAPI/activities/levels/level1,RSZL5Fb,
,"[""Level 2""]",,,,,,,2024-11-13T12:30:26.783+01:00,PT436S,,,https://py-rates.org/xAPI/verbs/completed,67348ddd20a5ac0465212cf5,,PT436S,https://py-rates.org/xAPI/activities/levels/level2,s3MLpCY,
,"[""Level 2""]",,,,,,,2024-11-13T12:30:24.466+01:00,,,,https://py-rates.org/xAPI/verbs/started,67348dd7327b090478286536,,,https://py-rates.org/xAPI/activities/levels/level2,uzasR9C,
,"[""Level 1""]",,,,,,,2024-11-13T12:30:22.589+01:00,PT1659S,,,https://py-rates.org/xAPI/verbs/completed,67348dd7327b090478286535,,PT1659S,https://py-rates.org/xAPI/activities/levels/level1,uzasR9C,
,"[""Level 2""]",,"Ligne 3 : Il faut utiliser des parenthèses pour appeler une fonction, même si elles sont vides : 'avancer()'.",,,"for _ in range(8):
	sauter()
	avancer


",,2024-11-13T12:30:21.398+01:00,PT0.01S,,,https://py-rates.org/xAPI/verbs/launched,67348de6327b090478286544,,PT434S,https://py-rates.org/xAPI/activities/programs/syntactic-error,sRjKkFR,1
,"[""Level 2""]",,"Ligne 3 : Il faut utiliser des parenthèses pour appeler une fonction, même si elles sont vides : 'avancer()'.",,,"for _ in range(8):
	sauter()
	avancer


",,2024-11-13T12:30:20.709+01:00,PT0.02S,,,https://py-rates.org/xAPI/verbs/launched,67348de6327b090478286543,,PT433S,https://py-rates.org/xAPI/activities/programs/syntactic-error,sRjKkFR,1
,"[""Level 4""]",,"Ligne 4 : Pour tester une égalité, il faut utiliser le double égal '=='.",,,"avancer()
lire_chaine()
ma_var = lire_chaîne
if ma_var=""gau"": 
	gauche()
else: 
	droite()",,2024-11-13T12:30:19.331+01:00,PT0.019S,,,https://py-rates.org/xAPI/verbs/launched,67348dd320a5ac0465212cb5,,PT138S,https://py-rates.org/xAPI/activities/programs/syntactic-error,Hj1hj2x,3
,"[""Level 4""]",,"Ligne 4 : Pour tester une égalité, il faut utiliser le double égal '=='.",,,"avancer()
lire_chaine()
ma_var = lire_chaîne
if ma_var = ""gau"": 
	gauche()
else: 
	droite()",,2024-11-13T12:30:13.560+01:00,PT0.031S,,,https://py-rates.org/xAPI/verbs/launched,67348dd320a5ac0465212cb4,,PT132S,https://py-rates.org/xAPI/activities/programs/syntactic-error,Hj1hj2x,3
,"[""Level 1""]",,,,,"# Ecrire le code de son programme ci-dedroite(1)
avancer()
droite()
avancer()
gauche()
avancer()
droite()
for _ in range(16):
	avancer()
ouvrir()",,2024-11-13T12:30:04.508+01:00,PT16.589S,,,https://py-rates.org/xAPI/verbs/launched,67348dd7327b090478286534,,PT1658S,https://py-rates.org/xAPI/activities/programs/level-completed,uzasR9C,3
,"[""Level 2""]",,"Ligne 7 : Impossible d'avancer vers cet emplacement",walk-location,,"for _ in range(6):
	sauter()
	avancer()
avancer()
gauche()
for _ in range(10):
	avancer()
	
	
	",,2024-11-13T12:30:01.481+01:00,PT16.542S,,,https://py-rates.org/xAPI/verbs/launched,67348dd4327b0904782864a4,,PT194S,https://py-rates.org/xAPI/activities/programs/game-error,qrCPbQ1,3
